TIMESTAMP,MMSI,LON,LAT,X,Y,HEADING,COURSE,SPEED,NAVIGATIONAL_STATUS,TYPE,STATION,CLASS
1426357208000,555532553,24.16195,37.535267,5574322.141383603,1722878.9053542682,105,22.8,0,0,30,-1,A
1426357475000,555532553,24.194834,37.524216,5577396.075366767,1722215.5894971918,108,22.9,0,0,30,-1,A
1426357733000,555532553,24.227467,37.516167,5580393.925262095,1721876.3298716508,106,22.7,0,0,30,-1,A
1426357991000,555532553,24.260283,37.5081,5583408.490015111,1721539.4598705503,106,22.8,0,0,30,-1,A
1426358243000,555532553,24.292034,37.502567,5586283.950140074,1721462.1264230711,99,22.0,0,0,30,-1,A
1426358513000,555532553,24.325933,37.5005,5589283.597639443,1721798.9065521657,86,21.3,0,0,30,-1,A
1426358772000,555532553,24.357616,37.50135,5592035.839090044,1722417.66269081,83,21.3,0,0,30,-1,A
1426359035000,555532553,24.3906,37.503082,5594885.127427834,1723155.235345026,83,21.5,0,0,30,-1,A
1426359293000,555532553,24.4233,37.50485,5597708.5328056,1723893.2142949144,83,21.5,0,0,30,-1,A
1426359545000,555532553,24.454983,37.50655,5600443.976713303,1724607.979762729,84,21.8,0,0,30,-1,A
1426359804000,555532553,24.486416,37.508816,5603146.689611221,1725381.2769040174,80,22.1,0,0,30,-1,A
1426360055000,555532553,24.520283,37.511684,5606050.264105533,1726262.1089079368,82,22.2,0,0,30,-1,A
1426360304000,555532553,24.549866,37.513115,5608606.161987211,1726915.6938591343,83,22.3,0,0,30,-1,A
1426360560000,555532553,24.5856,37.5148,5611693.871313766,1727701.7603918007,83,22.3,0,0,30,-1,A
1426360817000,555532553,24.619333,37.516483,5614606.513136764,1728455.185348201,84,22.4,0,0,30,-1,A
1426361069000,555532553,24.6523,37.517666,5617461.279626019,1729142.5119435634,85,22.4,0,0,30,-1,A
1426361327000,555532553,24.686117,37.518635,5620393.871582153,1729822.2481277618,85,22.5,0,0,30,-1,A
1426361579000,555532553,24.719482,37.519768,5623283.562679847,1730513.4243704206,85,22.5,0,0,30,-1,A
1426361825000,555532553,24.7514,37.5208,5626048.560678642,1731170.169931896,85,22.5,0,0,30,-1,A
1426362089000,555532553,24.7862,37.5214,5629072.793687352,1731830.4181514508,86,22.6,0,0,30,-1,A
1426362380000,555532553,24.82415,37.522266,5632366.337951167,1732575.0316626984,86,22.5,0,0,30,-1,A
1426362635000,555532553,24.85805,37.52323,5635304.389441794,1733262.278866175,85,22.6,0,0,30,-1,A
1426362899000,555532553,24.892334,37.521534,5638326.359730957,1733668.2045486898,103,22.3,0,0,30,-1,A
1426363162000,555532553,24.924984,37.513317,5641330.5316774575,1733338.2156705118,110,22.4,0,0,30,-1,A
1426363421000,555532553,24.95075,37.496384,5643901.882439848,1731942.7012259054,144,22.5,0,0,30,-1,A
1426363667000,555532553,24.960583,37.472282,5645221.706428002,1729492.5045822205,169,22.3,0,0,30,-1,A
1426363919000,555532553,24.96295,37.446785,5645917.126210014,1726761.4494586803,198,21.9,0,0,30,-1,A
1426364169000,555532553,24.94325,37.436966,5644385.742065884,1725352.6223418184,313,12.7,0,0,30,-1,A
1426364420000,555532553,24.94205,37.440117,5644220.66979445,1725674.4337266982,128,0.0,0,0,30,-1,A
1426365750000,555532553,24.942017,37.440166,5644216.851208816,1725679.1898848834,128,0.0,0,0,30,-1,A
1426366077000,555532553,24.942966,37.43997,5644303.440950375,1725674.3096352855,117,3.5,0,0,30,-1,A
1426366333000,555532553,24.961018,37.438717,5645903.161553249,1725850.806266528,54,19.6,0,0,30,-1,A
1426366583000,555532553,24.98755,37.452732,5647949.817362023,1727834.76648902,49,22.0,0,0,30,-1,A
1426366829000,555532553,25.012867,37.468,5649865.191914937,1729934.5055591976,49,22.2,0,0,30,-1,A
1426367087000,555532553,25.04025,37.482533,5651973.701373485,1731990.9386317688,54,22.1,0,0,30,-1,A
1426367340000,555532553,25.06835,37.496017,5654163.725734306,1733946.5816146224,54,22.2,0,0,30,-1,A
1426367600000,555532553,25.096966,37.50968,5656394.042987803,1735931.4824702088,54,22.4,0,0,30,-1,A
1426367849000,555532553,25.124033,37.522266,5658509.019911847,1737773.0102343385,54,22.3,0,0,30,-1,A
1426368139000,555532553,25.155134,37.5364,5660944.222452702,1739854.2656822274,44,14.6,0,0,30,-1,A
1426368380000,555532553,25.157017,37.53768,5661083.366234584,1740026.4195244033,184,0.6,0,0,30,-1,A
1426368561000,555532553,25.15695,37.537716,5661076.829926061,1740029.157217515,187,0.0,0,0,30,-1,A
1426369194000,555532553,25.15655,37.5372,5661052.018482982,1739966.0557496878,216,3.2,0,0,30,-1,A
1426369443000,555532553,25.15925,37.523285,5661557.782611945,1738500.9812188959,127,20.3,0,0,30,-1,A
1426369687000,555532553,25.1902,37.509735,5664518.209951877,1737571.9172871017,117,23.0,0,0,30,-1,A
1426369933000,555532553,25.21985,37.498085,5667329.046101921,1736827.7102427834,116,22.9,0,0,30,-1,A
1426370217000,555532553,25.2523,37.4848,5670416.487288506,1735956.4302345566,116,22.5,0,0,30,-1,A
1426370501000,555532553,25.285583,37.470383,5673599.487518884,1734978.284630634,116,22.4,0,0,30,-1,A
1426370790000,555532553,25.318567,37.461815,5676642.495471079,1734631.828591558,89,18.8,0,0,30,-1,A
1426371100000,555532553,25.32645,37.462666,5677312.891646516,1734864.1812612098,177,1.2,0,0,30,-1,A
1426371299000,555532553,25.326384,37.462734,5677305.803514064,1734870.398130472,177,0.0,0,0,30,-1,A
1426372611000,555532553,25.326416,37.46275,5677308.278441338,1734872.7045711502,177,0.0,0,0,30,-1,A
1426374011000,555532553,25.32635,37.46277,5677302.133011108,1734873.7061229371,178,0.0,0,0,30,-1,A
1426374401000,555532553,25.32645,37.46258,5677314.580647543,1734854.8371454896,177,1.3,0,0,30,-1,A
1426374665000,555532553,25.31095,37.461735,5675980.125744929,1734488.0350167537,288,19.2,0,0,30,-1,A
1426374924000,555532553,25.280083,37.470566,5673116.508146657,1734900.8285502663,288,22.2,0,0,30,-1,A
1426375194000,555532553,25.2472,37.479618,5670073.282111306,1735303.2503888179,288,22.1,0,0,30,-1,A
1426375446000,555532553,25.217983,37.49055,5667313.353449862,1735975.9375272715,293,22.0,0,0,30,-1,A
1426375704000,555532553,25.188566,37.502632,5664514.161288063,1736771.209091029,295,21.9,0,0,30,-1,A
1426375968000,555532553,25.161734,37.518517,5661866.920095948,1738026.3364017128,311,21.9,0,0,30,-1,A
